Column1,Column2,Column3,Column4
alpha,beta,CVar,obj_function
0.8,0.0,74728.189188,678393.8715360459
0.8,0.0001,178462.25881537492,678411.7177619274
0.8,0.001,178462.25881537492,678572.3337948613
0.8,0.01,178462.25881537492,680178.4941241995
0.8,0.1,178462.25881537507,696240.0974175838
0.9,0.0,74728.189188,678393.8715360459
0.9,0.0001,127338.83103975003,678406.6054191497
0.9,0.001,127338.83103975003,678521.2103670854
0.9,0.01,127338.83103975003,679667.2598464433
0.9,0.1,127338.83103974999,691127.7546400214
0.95,0.0,74728.189188,678393.8715360459
0.95,0.0001,96269.36987460006,678403.4984730333
0.95,0.001,96269.36987460006,678490.1409059203
0.95,0.01,96269.36987460006,679356.5652347921
0.95,0.1,96269.36987460006,688020.8085235063
