in_DA,in_bal,out_DA,out_bal,DA_error,bal_error
13273.6559375,15311.276757382499,13237.97515625,14312.759856581873,0.2688089959390602,6.521447666466999
14996.1275,14002.357691027497,14606.53625,12739.934546009374,2.5979457029823285,9.015789861067935
15117.56875,13790.72398046,14545.815625,12845.751401293126,3.7820441530983686,6.8522332874314635
13480.56875,14757.226136138122,13134.51875,14589.785167204062,2.567028190112536,1.1346371424371169
13643.0415625,15566.476073784375,13053.28234375,14185.160198380938,4.322784007131117,8.873658166794234
13165.0278125,13467.805257640624,13292.28921875,15234.49560645281,-0.9666626463877794,-13.117878637351833
15003.989375,14106.351288111251,14602.6053125,12687.9377474675,2.6751822629839697,10.05514120323362
13558.716875,15143.847465398749,13095.4446875,14396.474502573748,3.416784875523117,4.935159077193739
15151.8484375,14155.832254320625,14528.67578125,12663.19726436281,4.112849061423306,10.5443110877655
13279.2228125,14048.238576083124,13235.19171875,14944.278947231562,0.33157884592878806,-6.3783111761351385
